Name,Address,Rating,Website,Price,City,State
Bode Nashville,"401 President Ronald Reagan Wy, Nashville, TN 37201, USA",4.2,https://www.bode.co/downtown-nashville-hotel/utm_source=ghbp,143,Nashville,TN
Hilton Atlanta,"255 Courtland St NE, Atlanta, GA 30303, USA",3.9,https://www.hilton.com/en/hotels/atlahhh-hilton-atlanta/?SEO_id=GMB-AMER-HH-ATLAHHH&y_source=1_MTIyMDg1MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,160,Atlanta,GA
Courtland Grand Hotel,"165 Courtland St NE, Atlanta, GA 30303, USA",3.7,https://courtlandgrandhotel.com/,224,Atlanta,GA
Hampton Inn Atlanta-Buckhead,"3398 Piedmont Rd NE, Atlanta, GA 30305, USA",4.1,https://www.hilton.com/en/hotels/atlbuhx-hampton-atlanta-buckhead/?SEO_id=GMB-AMER-HX-ATLBUHX&y_source=1_MjA4Mzc1Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,170,Atlanta,GA
La Quinta Inn & Suites by Wyndham Atlanta Airport North,"1200 Virginia Ave, Atlanta, GA 30344, USA",3.9,https://www.wyndhamhotels.com/laquinta/atlanta-georgia/la-quinta-atlanta-airport-north/overview?CID=LC:6ysy27krtpcrqev:53078&iata=00093796,169,Atlanta,GA
Nobu Hotel Atlanta,"3520 Peachtree St NE, Atlanta, GA 30326, USA",4.1,https://www.nobuhotels.com/atlanta/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,199,Atlanta,GA
Hilton Garden Inn Atlanta Marietta,"3045 Windy Hill Rd SE, Atlanta, GA 30339, USA",4.1,https://www.hilton.com/en/hotels/atlwwgi-hilton-garden-inn-atlanta-marietta/?SEO_id=GMB-AMER-GI-ATLWWGI&y_source=1_MjA4MzU5OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,148,Atlanta,GA
Signia by Hilton Atlanta Georgia World Congress Center,"159 Northside Dr NW, Atlanta, GA 30313, USA",4,https://www.hilton.com/en/hotels/atlwcsa-signia-atlanta-georgia-world-congress-center/?SEO_id=GMB-AMER-SA-ATLWCSA&y_source=1_Mjc3Mjk2MzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,210,Atlanta,GA
Omni Hotel at the Battery Atlanta,"2625 Cir 75 Pkwy SE, Atlanta, GA 30339, USA",4.6,https://www.omnihotels.com/hotels/atlanta-battery?utm_source=gmblisting&utm_medium=organic,190,Atlanta,GA
REVERB Downtown Atlanta,"89 Centennial Olympic Park Dr NW, Atlanta, GA 30313, USA",4,https://reverb.hardrock.com/atlanta?utm_campaign=shrss_reverb_reverb-atlanta_websitelisting&utm_medium=referral&utm_source=gmb,85,Atlanta,GA
Atlanta Marriott Marquis,"265 Peachtree Center Ave NE, Atlanta, GA 30303, USA",4.2,https://www.marriott.com/en-us/hotels/atlmq-atlanta-marriott-marquis/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,137,Atlanta,GA
